News,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
@BBC,0.4939,Tue Aug 21 10:02:10 +0000 2018,0.868,0.0,0.132,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCR1: ""YOU'RE NOT GONNA BELIEVE THIS SMOL CAMILA..."" 💔😭

@Camila_Cabello tweeting her younger self after the #VMAs is too adorable.

h…",78
@BBC,0.4199,Tue Aug 21 08:00:13 +0000 2018,0.715,0.0,0.285,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",❤️🦔 All animals need someone like JOAN! https://t.co/45ldsfXqNC,79
@BBC,0.2263,Tue Aug 21 07:27:10 +0000 2018,0.822,0.068,0.11,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Now 22, the youngest US recipient of a face transplant has shared the results of several years of exhaustive recons… https://t.co/NRG3ikfob9",80
@BBC,0.0,Tue Aug 21 07:00:10 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Ria was adopted from Sri Lanka when she was three weeks old, and all she has of her birth mother is a single photog… https://t.co/kO1gcsrouf",81
@BBC,-0.2942,Mon Aug 20 18:02:03 +0000 2018,0.82,0.18,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🐶🏄 Forget doggy paddling, doggy paddleboarding is where it's at! https://t.co/z3jrX70USU",82
@BBC,0.0,Mon Aug 20 16:00:27 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Meet the biggest puppet in the UK. https://t.co/Tjr3AdLmIr,83
@BBC,0.0,Mon Aug 20 15:05:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",More than 200 hairy competitors from around the world have been taking part in the British Beard and Moustache Cham… https://t.co/ADoWxUNNwG,84
@BBC,0.0,Mon Aug 20 13:22:36 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcpress: Writers and directors confirmed for new #DoctorWho series: https://t.co/JiqbWACtAp https://t.co/dEJePm2wZf,85
@BBC,0.0,Mon Aug 20 13:04:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🗣 From 'autofiction' to 'catfishing', here are 14 words that define the present. 
👉 https://t.co/4eRmRJIkR9 https://t.co/ldFvdZi0gT",86
@BBC,0.4404,Mon Aug 20 12:01:05 +0000 2018,0.838,0.0,0.162,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",☀️ More of England's hidden history has been revealed thanks to the recent hot weather.  https://t.co/e6vipmru3u,87
@BBC,0.0,Mon Aug 20 11:28:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","New Zealand's minister for women has cycled to hospital to give birth to her first child at 42 weeks.
👉… https://t.co/OKIxYGEx0R",88
@BBC,-0.6486,Mon Aug 20 11:17:51 +0000 2018,0.677,0.323,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCOne: NEWS JUST IN: TV is dead. 

@LennyHenry https://t.co/93ghd2BH3z",89
